method,layer_idx,proj,task,overlap
lora,19,q_proj,mbpp,0.6648193597793579
lora,19,v_proj,gsm8k,0.5796950459480286
lora,19,v_proj,sst2,0.5475553870201111
lora,19,v_proj,mbpp,0.5123202204704285
lora,20,q_proj,gsm8k,0.564767062664032
lora,20,q_proj,sst2,0.5457412600517273
lora,20,q_proj,mbpp,0.521909236907959
lora,20,v_proj,gsm8k,0.5482043623924255
lora,20,v_proj,sst2,0.5072192549705505
lora,20,v_proj,mbpp,0.4720040261745453
lora,21,q_proj,gsm8k,0.6190474033355713
lora,21,q_proj,sst2,0.6032442450523376
lora,21,q_proj,mbpp,0.5790079832077026
lora,21,v_proj,gsm8k,0.4383315443992615
lora,21,v_proj,sst2,0.40305227041244507
lora,21,v_proj,mbpp,0.38859811425209045
lora,22,q_proj,gsm8k,0.7153518199920654
lora,22,q_proj,sst2,0.6764404773712158
lora,22,q_proj,mbpp,0.6426674723625183
lora,22,v_proj,gsm8k,0.6163061261177063
lora,22,v_proj,sst2,0.5688008069992065
lora,22,v_proj,mbpp,0.5315977334976196
lora,23,q_proj,gsm8k,0.45144888758659363
lora,23,q_proj,sst2,0.4211631417274475
lora,23,q_proj,mbpp,0.40376806259155273
lora,23,v_proj,gsm8k,0.5801449418067932
lora,23,v_proj,sst2,0.5459441542625427
lora,23,v_proj,mbpp,0.5027389526367188
lora,24,q_proj,gsm8k,0.6201034784317017
lora,24,q_proj,sst2,0.5825979709625244
lora,24,q_proj,mbpp,0.5638203620910645
lora,24,v_proj,gsm8k,0.6511111259460449
lora,24,v_proj,sst2,0.5957160592079163
lora,24,v_proj,mbpp,0.5652349591255188
lora,25,q_proj,gsm8k,0.3979414105415344
lora,25,q_proj,sst2,0.3764341473579407
lora,25,q_proj,mbpp,0.3679716885089874
lora,25,v_proj,gsm8k,0.6287586688995361
lora,25,v_proj,sst2,0.5970577597618103
lora,25,v_proj,mbpp,0.5533009767532349
lora,26,q_proj,gsm8k,0.7647958397865295
lora,26,q_proj,sst2,0.7455014586448669
lora,26,q_proj,mbpp,0.7129044532775879
lora,26,v_proj,gsm8k,0.49276265501976013
lora,26,v_proj,sst2,0.4624219834804535
lora,26,v_proj,mbpp,0.42530080676078796
lora,27,q_proj,gsm8k,0.6744260787963867
lora,27,q_proj,sst2,0.632392942905426
lora,27,q_proj,mbpp,0.6117259860038757
lora,27,v_proj,gsm8k,0.5339381694793701
lora,27,v_proj,sst2,0.49806541204452515
lora,27,v_proj,mbpp,0.4615362882614136
