method,layer_idx,proj,task,overlap
olora_standard,11,v_proj,sciq,0.014434358105063438
olora_standard,12,q_proj,gsm8k,0.007519855163991451
olora_standard,12,q_proj,sst2,0.027590371668338776
olora_standard,12,q_proj,mbpp,0.008732186630368233
olora_standard,12,q_proj,xsum,0.006199665833264589
olora_standard,12,q_proj,sciq,0.013029416091740131
olora_standard,12,v_proj,gsm8k,0.01294913049787283
olora_standard,12,v_proj,sst2,0.022243434563279152
olora_standard,12,v_proj,mbpp,0.013123205862939358
olora_standard,12,v_proj,xsum,0.009473682381212711
olora_standard,12,v_proj,sciq,0.015918811783194542
olora_standard,13,q_proj,gsm8k,0.007080800831317902
olora_standard,13,q_proj,sst2,0.04860728979110718
olora_standard,13,q_proj,mbpp,0.010062620975077152
olora_standard,13,q_proj,xsum,0.006988753564655781
olora_standard,13,q_proj,sciq,0.017696436494588852
olora_standard,13,v_proj,gsm8k,0.009187237359583378
olora_standard,13,v_proj,sst2,0.015288169495761395
olora_standard,13,v_proj,mbpp,0.00951750110834837
olora_standard,13,v_proj,xsum,0.00807559210807085
olora_standard,13,v_proj,sciq,0.010300163179636002
olora_standard,14,q_proj,gsm8k,0.005604875739663839
olora_standard,14,q_proj,sst2,0.03633929044008255
olora_standard,14,q_proj,mbpp,0.007957039400935173
olora_standard,14,q_proj,xsum,0.007234765216708183
olora_standard,14,q_proj,sciq,0.01259557344019413
olora_standard,14,v_proj,gsm8k,0.00838115718215704
olora_standard,14,v_proj,sst2,0.014468942768871784
olora_standard,14,v_proj,mbpp,0.00868965219706297
olora_standard,14,v_proj,xsum,0.007213694974780083
olora_standard,14,v_proj,sciq,0.011000997386872768
olora_standard,15,q_proj,gsm8k,0.006006395909935236
olora_standard,15,q_proj,sst2,0.025596410036087036
olora_standard,15,q_proj,mbpp,0.007469012401998043
olora_standard,15,q_proj,xsum,0.006581142544746399
olora_standard,15,q_proj,sciq,0.010963615961372852
olora_standard,15,v_proj,gsm8k,0.009379860945045948
olora_standard,15,v_proj,sst2,0.017513876780867577
olora_standard,15,v_proj,mbpp,0.009434612467885017
olora_standard,15,v_proj,xsum,0.007617542520165443
olora_standard,15,v_proj,sciq,0.012622693553566933
olora_standard,16,q_proj,gsm8k,0.0049179126508533955
