method,layer_idx,proj,task,overlap
olora_standard,19,v_proj,gsm8k,0.019203990697860718
olora_standard,19,v_proj,sst2,0.02126002311706543
olora_standard,19,v_proj,mbpp,0.019192134961485863
olora_standard,20,q_proj,gsm8k,0.01549280621111393
olora_standard,20,q_proj,sst2,0.019118212163448334
olora_standard,20,q_proj,mbpp,0.01578126847743988
olora_standard,20,v_proj,gsm8k,0.02249702624976635
olora_standard,20,v_proj,sst2,0.027040934190154076
olora_standard,20,v_proj,mbpp,0.022196071222424507
olora_standard,21,q_proj,gsm8k,0.015320805832743645
olora_standard,21,q_proj,sst2,0.024038294330239296
olora_standard,21,q_proj,mbpp,0.01587975211441517
olora_standard,21,v_proj,gsm8k,0.022363105788826942
olora_standard,21,v_proj,sst2,0.0241922065615654
olora_standard,21,v_proj,mbpp,0.022723356261849403
olora_standard,22,q_proj,gsm8k,0.016328444704413414
olora_standard,22,q_proj,sst2,0.029534224420785904
olora_standard,22,q_proj,mbpp,0.0172567181289196
olora_standard,22,v_proj,gsm8k,0.028546234592795372
olora_standard,22,v_proj,sst2,0.023941153660416603
olora_standard,22,v_proj,mbpp,0.02949928119778633
olora_standard,23,q_proj,gsm8k,0.015407048165798187
olora_standard,23,q_proj,sst2,0.031944286078214645
olora_standard,23,q_proj,mbpp,0.0167049840092659
olora_standard,23,v_proj,gsm8k,0.024044957011938095
olora_standard,23,v_proj,sst2,0.022273633629083633
olora_standard,23,v_proj,mbpp,0.024629656225442886
olora_standard,24,q_proj,gsm8k,0.014711372554302216
olora_standard,24,q_proj,sst2,0.028746463358402252
olora_standard,24,q_proj,mbpp,0.015941010788083076
olora_standard,24,v_proj,gsm8k,0.024879246950149536
olora_standard,24,v_proj,sst2,0.025778889656066895
olora_standard,24,v_proj,mbpp,0.024393444880843163
olora_standard,25,q_proj,gsm8k,0.016727495938539505
olora_standard,25,q_proj,sst2,0.030599219724535942
olora_standard,25,q_proj,mbpp,0.017609737813472748
olora_standard,25,v_proj,gsm8k,0.022642269730567932
olora_standard,25,v_proj,sst2,0.02262609452009201
olora_standard,25,v_proj,mbpp,0.02242838405072689
olora_standard,26,q_proj,gsm8k,0.01267656683921814
olora_standard,26,q_proj,sst2,0.035853538662195206
olora_standard,26,q_proj,mbpp,0.01552889309823513
olora_standard,26,v_proj,gsm8k,0.020635981112718582
olora_standard,26,v_proj,sst2,0.026149049401283264
olora_standard,26,v_proj,mbpp,0.021151646971702576
olora_standard,27,q_proj,gsm8k,0.013853298500180244
olora_standard,27,q_proj,sst2,0.03161318600177765
olora_standard,27,q_proj,mbpp,0.015843894332647324
olora_standard,27,v_proj,gsm8k,0.023394474759697914
olora_standard,27,v_proj,sst2,0.024519607424736023
olora_standard,27,v_proj,mbpp,0.023472245782613754
olora_safety,0,q_proj,gsm8k,0.007454842794686556
olora_safety,0,q_proj,sst2,0.025005245581269264
olora_safety,0,q_proj,mbpp,0.008415156975388527
olora_safety,0,v_proj,gsm8k,0.01775178499519825
olora_safety,0,v_proj,sst2,0.024413272738456726
olora_safety,0,v_proj,mbpp,0.0178944431245327
olora_safety,1,q_proj,gsm8k,0.011870055459439754
olora_safety,1,q_proj,sst2,0.0349017009139061
olora_safety,1,q_proj,mbpp,0.013583457097411156
olora_safety,1,v_proj,gsm8k,0.019446784630417824
olora_safety,1,v_proj,sst2,0.024702513590455055
olora_safety,1,v_proj,mbpp,0.01984112523496151
olora_safety,2,q_proj,gsm8k,0.009905774146318436
olora_safety,2,q_proj,sst2,0.03399386256933212
olora_safety,2,q_proj,mbpp,0.011687759310007095
olora_safety,2,v_proj,gsm8k,0.018333565443754196
olora_safety,2,v_proj,sst2,0.030235061421990395
olora_safety,2,v_proj,mbpp,0.019636642187833786
olora_safety,3,q_proj,gsm8k,0.009643154218792915
olora_safety,3,q_proj,sst2,0.04427728429436684
olora_safety,3,q_proj,mbpp,0.012640594504773617
olora_safety,3,v_proj,gsm8k,0.022707290947437286
olora_safety,3,v_proj,sst2,0.03407558798789978
olora_safety,3,v_proj,mbpp,0.02334633842110634
olora_safety,4,q_proj,gsm8k,0.010400434024631977
olora_safety,4,q_proj,sst2,0.05144772306084633
olora_safety,4,q_proj,mbpp,0.0134495310485363
olora_safety,4,v_proj,gsm8k,0.022217541933059692
olora_safety,4,v_proj,sst2,0.026974817737936974
olora_safety,4,v_proj,mbpp,0.022993694990873337
olora_safety,5,q_proj,gsm8k,0.012227115221321583
olora_safety,5,q_proj,sst2,0.029977593570947647
olora_safety,5,q_proj,mbpp,0.013824067078530788
olora_safety,5,v_proj,gsm8k,0.02190951444208622
olora_safety,5,v_proj,sst2,0.03611656650900841
olora_safety,5,v_proj,mbpp,0.022695429623126984
olora_safety,6,q_proj,gsm8k,0.0100625641644001
olora_safety,6,q_proj,sst2,0.02704404667019844
olora_safety,6,q_proj,mbpp,0.011377167887985706
olora_safety,6,v_proj,gsm8k,0.02618545852601528
olora_safety,6,v_proj,sst2,0.029529348015785217
olora_safety,6,v_proj,mbpp,0.027318917214870453
olora_safety,7,q_proj,gsm8k,0.010321383364498615
olora_safety,7,q_proj,sst2,0.03979872167110443
